ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINNING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R35GM153250-01,RPGs - Non SBIR/STTR,10842703,"EMANUELE, MICHAEL JAMES",9400846,Proteostasis signaling in cell cycle control,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$383,786","$197,747","$581,533",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/14/24,PAR-22-180
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R34MH130262-01A1,RPGs - Non SBIR/STTR,10839073,"WHITE, BECKY L",2044146,A Pilot Feasibility HIV prevention Study Linking  Incarcerated Women to Post-Release Pre-exposure prophylaxis (PrEP) Services,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$526,273","$151,316","$677,589",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/11/24,PAR-23-060
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K01TW012426-03,Other Research-Related,10841583,"SPELKE, MAE BRIDGET",16590294,A Career Development Award in Global Postpartum Health,OBSTETRICS AND GYNECOLOGY,OBSTETRICS & GYNECOLOGY,SCHOOLS OF MEDICINE,"$171,164","$13,270","$184,434",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/3/24,PAR-21-105
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM136330-05,RPGs - Non SBIR/STTR,10834022,"NICEWICZ, DAVID A",8296437,New Catalytic Methods for the Synthesis of Complex Molecules,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$376,700","$182,173","$558,873",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,4/18/24,PAR-17-094
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DA051127-04,RPGs - Non SBIR/STTR,10851675,"TELZER, EVA HAIMO",10319450,Neurobiological susceptibility to peer influence and drug use in adolescence,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$428,771","$237,968","$666,739",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,5/22/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T35HL134624-07,Training - Institutional,10851682,"MEYER, MICHELLE",9784337,Intensive Summer Research Training in Emergency Medicine (ISTEM) program,EMERGENCY MEDICINE,EMERGENCY MEDICINE,SCHOOLS OF MEDICINE,"$49,461","$3,957","$31,899",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/14/24,PA-20-162
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31HD112124-02,Training - Individual,10842247,"INGOL, TANIQUA",15865647,Accounting for selection and information bias in studies of Autism Spectrum Disorder,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$26,002",,"$26,002",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,5/1/24,PA-21-052
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31DK136305-02,Training - Individual,10851710,"BREAU, KEITH",16604956,Investigating a role for Wnt-associated planar polarity in collective migration of human intestinal epithelium,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$40,418",,"$40,418",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/10/24,PA-21-051
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5P01CA019014-44,RPGs - Non SBIR/STTR,10852899,"DAMANIA, BLOSSOM A",6931559,"Viral Oncogenesis, Latency, and Replication",MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$1,252,691","$684,230","$1,936,921",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/26/24,PAR-20-077
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM122576-08,RPGs - Non SBIR/STTR,10834026,"BROUWER, KIM L.R.",1895526,Mechanisms of Altered Hepatic Transport: Impact on Drug Therapy,NONE,NONE,SCHOOLS OF PHARMACY,"$395,001","$212,594","$607,595",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,3/18/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5P01AI178377-02,RPGs - Non SBIR/STTR,10852977,"DE PARIS, KRISTINA",7905170,Determinants of HIV broadly-neutralizing antibody precursor induction in infants,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$1,338,169","$179,962","$1,518,131",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/20/24,RFA-AI-22-038
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL159194-03,RPGs - Non SBIR/STTR,10853062,"HAAR, LAUREN L",10408304,Optogenetic protein design for hypertrophic signaling pathways,NONE,NONE,SCHOOLS OF PHARMACY,"$250,000","$138,750","$388,750",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,6/13/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01AA031450-01,RPGs - Non SBIR/STTR,10853359,"KASH, THOMAS L.",7551787,Probing Ethanol Dysregulation of Hypothalamic CRH neurons,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$312,256","$126,283","$438,539",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/17/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32MH093315-12,Training - Institutional,10845580,"GIRDLER, SUSAN S.",1882645,Postdoctoral Training in Reproductive Mood Disorders,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$244,548","$18,844","$259,566",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/2/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM137985-05,RPGs - Non SBIR/STTR,10846622,"DOWEN, ROBERT HOUSTON",10498697,Regulation of lipid homeostasis by proliferative signaling pathways,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$250,000","$131,535","$381,535",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/21/24,PAR-17-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5UM1TR004406-02,RPGs - Non SBIR/STTR,10834286,"SHAHEEN, NICHOLAS J",2049118,North Carolina Translational and Clinical Sciences Institute (NC TraCS),MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$6,974,627","$2,922,470","$9,897,097",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/15/24,PAR-21-293
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R21ES035981-01A1,RPGs - Non SBIR/STTR,10889489,"DOERSCHUK, CLAIRE M",1882826,The pulmonary immune response induced by single and multiple exposures to combustion products of burn pit constituents,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$275,000","$152,625","$427,625",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/16/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23MH132884-02,Other Research-Related,10889273,"SKLEROV, MIRIAM",14396523,Investigation of non-invasive brain stimulation for the treatment of apathy,NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$186,311","$14,905","$201,216",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/26/24,PA-20-206
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R21AG084375-01A1,RPGs - Non SBIR/STTR,10889390,"WU, GUORONG",10594466,Understanding Mechanism of Functional Dynamics Through An Explainable Neural Network Landscape with Geometric Control,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$275,000","$141,750","$416,750",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/23/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM118105-09,RPGs - Non SBIR/STTR,10831394,"DOHLMAN, HENRIK G.",1863178,Negative and positive feedback in cell signaling,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$430,000","$229,119","$659,119",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/9/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,3R01AG081421-01S1,RPGs - Non SBIR/STTR,10890432,"COHEN, SARAH",14082678,Assessing the role of APOE in glial lipid droplet metabolism and function,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$21,572",$0,"$21,572",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,11/30/23,PA-23-189
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F32NS131217-02,Training - Individual,10889952,"LEMKE, STEFAN",12368905,Understanding the Distributed Control of Flexible Behavior,NEUROSCIENCE CENTER,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,"$76,756",,"$76,756",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/9/24,PAR-21-032
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R34MH130555-03,RPGs - Non SBIR/STTR,10890017,"WILSON, AMY BLANK",8816797,Forging New Paths: Building Interventions to Treat Criminogenic Needs in Community Based Mental Health Settings,NONE,NONE,SCHOOLS OF SOCIAL WELFARE/WORK,"$153,749","$82,154","$235,903",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF SOCIAL WELFARE/WORK,6/17/24,PAR-21-131
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U54CA254564-05,Research Centers,10891536,"DAMANIA, BLOSSOM A",6931559,"Innovations for screening and prognosis in HIV+ cancers including Kaposi sarcoma, cervical cancer, and lymphoma in Malawi and South Africa",MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$821,596","$272,632","$1,094,228",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/18/24,RFA-CA-20-001
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2T32NS007431-26,Training - Institutional,10844291,"ZYLKA, MARK J.",8587924,Neuroscience Predoctoral Training at UNC-Chapel Hill,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$421,792","$21,583","$215,923",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/8/24,PAR-22-265
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AG065394-05,RPGs - Non SBIR/STTR,10890647,"HANSON, LAURA C",7519595,Palliative Care for Persons with Late-stage Alzheimer's and Related Dementias and their Caregivers: a Randomized Clinical Trial,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$342,716","$181,388","$524,104",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/26/24,PA-18-502
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DE032060-02,RPGs - Non SBIR/STTR,10831096,"SCHOENFISCH, MARK H",2094686,Nitric oxide-releasing hyaluronic acid therapeutics for treating periodontal disease,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$309,546","$165,803","$475,349",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,5/6/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31AG079632-02,Training - Individual,10831402,"MCPHERSON, JEANNE-MARIE",16584954,Interrogating the roles of canonical versus variant histone H3 in genome function during aging,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$40,496",,"$40,496",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/21/24,PA-21-051
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM127151-07,RPGs - Non SBIR/STTR,10890600,"ERIE, DOROTHY A",1893659,Integrative single molecule studies: DNA repair and technology development,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$321,067","$154,496","$475,563",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,5/30/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HD030880-29,RPGs - Non SBIR/STTR,10890784,"POPKIN, BARRY M",1865838,Monitoring Social Change: Health and Human Capital from Childhood to Adulthood,NUTRITION,NUTRITION,SCHOOLS OF PUBLIC HEALTH,"$380,981","$193,765","$574,746",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/27/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA257009-04,RPGs - Non SBIR/STTR,10890780,"AINSLIE, KRISTY M",8299299,Tunable Temporal Drug Release for Optimized Synergistic Combination Therapy of Glioblastoma,NONE,NONE,SCHOOLS OF PHARMACY,"$223,825","$108,289","$332,114",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,6/28/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32AI007062-45,Training - Institutional,10849935,"PEDEN, DAVID B.",1986794,Research Training in Allergy and Clinical Immunology,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$469,802","$19,973","$400,879",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/14/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM138286-05,RPGs - Non SBIR/STTR,10833129,"SCHRIDER, DANIEL R",10610237,Advancing evolutionary genetic inference in humans and other taxa,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$250,000","$135,822","$385,822",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/5/24,PAR-17-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1S10OD036215-01,Other Research-Related,10850217,"ARIEL, PABLO",15177646,Zeiss LSM900 laser scanning confocal microscope for the University of North Carolina at Chapel Hill,PATHOLOGY AND LAB MEDICINE,PATHOLOGY,SCHOOLS OF MEDICINE,"$261,741",,"$261,741",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/26/24,PAR-22-080
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,3R35GM135160-05S1,RPGs - Non SBIR/STTR,10833896,"GUPTON, STEPHANIE",9739285,Coordinated Cytoskeletal Dynamics and Membrane Remodeling in Cellular Shape Change,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$19,571","$10,862","$30,433",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,12/21/23,PA-21-071
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL157441-04,RPGs - Non SBIR/STTR,10837155,"PAWLINSKI, RAFAL L",6475507,Mechanism of sickle cell disease-specific venous thromboembolism,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$426,260","$221,498","$647,758",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/28/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2K24AI143471-06,Other Research-Related,10837224,"TUCKER, JOSEPH DAVID",9344955,Mentoring Multidisciplinary Global HIV Patient-oriented research,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$186,330","$14,906","$201,236",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,12/28/23,PA-20-193
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32HL166141-02,Training - Institutional,10850658,"DOERSCHUK, CLAIRE M",1882826,UNC Research Training Program in Respiratory Diseases and Critical Care,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$524,632","$38,968","$563,600",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/17/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL157422-04,RPGs - Non SBIR/STTR,10831470,"MUSCATELL, KEELY ANN",11074977,Neural and Molecular Mechanisms Underlying Stress-Induced Inflammatory Responses,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$424,674","$140,299","$564,973",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,4/19/24,PA-20-183
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F32DA057779-02,Training - Individual,10834009,"NIEHAUS, JESSE",14253542,Characterizing the connectivity and molecular composition of opioid-sensitive neurons in the periaqueductal gray,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$76,756",,"$76,756",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/1/24,PA-21-048
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01MH133028-02,RPGs - Non SBIR/STTR,10850966,"PENCE, BRIAN W",8831092,Aligning facility leadership and climate to advance mental health services integration in Malawi,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$869,586","$335,638","$1,205,224",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,4/15/24,RFA-MH-22-130
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA249190-05,RPGs - Non SBIR/STTR,10837815,"WANG, XIAODONG",9816747,MERTK/AXL dual inhibitors provide novel treatment for cancer by targeting tumor cells and activating anti-tumor immunity,CHEMICAL BIOLOGY AND MEDICINAL CHEMISTRY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$364,875","$98,392","$463,267",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,3/7/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R25AG086105-01,Other Research-Related,10847935,"WU, GUORONG",10594466,Summer Research Education Program for Promoting Computational Neuroimaging Technology in Alzheimer's Disease (AD) and AD-Related Dementias (ADRD),PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$198,609","$6,391","$205,000",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/15/24,RFA-AG-24-013
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35NS116859-05,RPGs - Non SBIR/STTR,10838461,"ANTON, EVA S",1894823,DEFINING MECHANISMS OF PROGENITOR BALANCE AND NEURONAL CONNECTIVITY,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$377,506","$209,516","$527,923",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/2/24,RFA-NS-19-037
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U24DK132715-03,Other Research-Related,10849861,"SHAIKH, SAAME R",7076663,"North Carolina Consortium for Diversity Career Development in Nutrition, Obesity, and Diabetes Research",NUTRITION,NUTRITION,SCHOOLS OF PUBLIC HEALTH,"$613,008","$240,734","$853,742",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/12/24,RFA-DK-20-034
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32HL007055-48,Training - Institutional,10850586,"ROSAMOND, WAYNE D.",7995491,Cardiovascular Epidemiology Training Grant,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$509,362","$33,420","$522,782",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/11/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AI151295-03,RPGs - Non SBIR/STTR,10849903,"BOWMAN, NATALIE MCCARTER",11104700,An integrated approach to understand and diagnose congenital Chagas disease,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$583,048","$107,833","$690,881",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/6/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL125654-10,RPGs - Non SBIR/STTR,10841580,"NEHER, SASKIA",9743728,Investigation of the Molecular Mechanisms of Lipoprotein Lipase Inhibitors,BIOCHEMISTRY AND BIOPHYSICS,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$250,000","$131,494","$381,494",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/11/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM138289-05,RPGs - Non SBIR/STTR,10849786,"TSANGARATOU, AGELIKI",10604378,Epigenetic Regulation of Lineage Specification,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$250,000","$128,288","$378,288",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/5/24,PAR-17-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R21AI174088-02,RPGs - Non SBIR/STTR,10849775,"WOLFGANG, MATTHEW C",1952743,Impact of hyperglycemia on the pathogenesis of chronic bacterial lung infection,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$150,000","$73,417","$223,417",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/8/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23AI159073-03,Other Research-Related,10762463,"GLENN, DOREY",14169645,Protecting Patients with Glomerular Disease from Vaccine-Preventable Infections,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$182,648","$14,612","$197,260",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,12/27/23,PA-20-205
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM134962-05,RPGs - Non SBIR/STTR,10762459,"CAMPBELL, SHARON L",1898880,Structure and Mechanism of G-proteins and cell adhesion proteins in regulation of cell growth and motility,BIOCHEMISTRY AND BIOPHYSICS,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$390,004","$207,949","$597,953",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,1/9/24,PAR-17-094
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R21AI168980-02,RPGs - Non SBIR/STTR,10762476,"DE PARIS, KRISTINA",7905170,Vaccine-induced SARS-CoV-2-specific T cell responses in patients with X-linked Agammaglobulinemia,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$140,478","$55,292","$195,770",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,11/28/23,PA-20-195
