ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,OPPORTUNITY NUMBER
"PROKARYOTICS, INC.",10045100,5R01AI165740-03,RPGs - Non SBIR/STTR,10974482,"ROEMER, TERRY",12254697,Development of a mechanistically novel Gram-negative antibiotic targeting MsbA-mediated Lipopolysaccharide Biogenesis,,NONE,UNAVAILABLE,"$499,767 ","$179,916 ","$679,683 ",10,UNION,NEW JERSEY,,,,Domestic For-Profits,10/29/24,PA-20-185
PROLOCOR INC.,10060603,3R44HL166003-03S1,RPGs - SBIR/STTR,11238227,"OHRNBERGER, JEANNE",78827086,Validation of Platelet Expression of Fc?RIIa as a Precision Tool,,NONE,UNAVAILABLE,,,"$50,000 ",At-Large,SHELBURNE,VERMONT,,,,Domestic For-Profits,1/16/25,PA-20-272
"PROMILEAD, LLC",10071895,1R41CA298141-01,RPGs - SBIR/STTR,11065977,"FAN, DAPING",9832488,Activating TFEB to enhance the efficacy of immunotherapy for triple negative breast cancer,,NONE,UNAVAILABLE,,,"$400,000 ",6,COLUMBIA,SOUTH CAROLINA,,,,Domestic For-Profits,1/31/25,PA-23-232
PUBLIC HEALTH FOUNDATION ENTERPRISES,540201,5UM1AI069496-19,RPGs - Non SBIR/STTR,10982466,"BUCHBINDER, SUSAN",8375237,San Francisco Bay Clinical Trials Unit (CTU),,NONE,UNAVAILABLE,"$710,311 ","$28,620 ","$738,931 ",31,CITY OF INDUSTRY,CALIFORNIA,91746,,,Research Institutes,11/19/24,RFA-AI-19-045
PURDUE UNIVERSITY,1481402,3R01NS119917-05S1,RPGs - Non SBIR/STTR,11054726,"FLAHERTY, DANIEL PATRICK",10731634,Pharmacological validation of adenylyl cyclase 1 as a drug target for chronic pain,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$48,402 ","$21,217 ","$69,619 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,11/29/24,PA-19-056
PURDUE UNIVERSITY,1481402,5R00MD016946-05,RPGs - Non SBIR/STTR,10999414,"COTTRELL, KYLE",12331641,Identifying determinants of ADAR-dependency in triple-negative breast cancer,BIOCHEMISTRY,BIOCHEMISTRY,EARTH SCIENCES/RESOURCES,"$144,581 ","$79,520 ","$224,101 ",4,WEST LAFAYETTE,INDIANA,47907,,,EARTH SCIENCES/RESOURCES,12/13/24,PAR-19-343
PURDUE UNIVERSITY,1481402,5R01CA271597-03,RPGs - Non SBIR/STTR,10980421,"TEEGARDEN, DOROTHY",1885668,Impact of hypoxia on lipid metabolism in obesity-driven breast cancer progression,NUTRITION SCIENCE,NUTRITION,SCHOOLS OF PUBLIC HEALTH,"$424,084 ","$153,387 ","$577,471 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PUBLIC HEALTH,11/26/24,PA-20-185
PURDUE UNIVERSITY,1481402,5R13HD070625-26,Other Research-Related,10983316,"SWITHERS, SUSAN E",1889197,Expanding engagement and mentorship of developing scientists through ISDP Annual Meeting participation,PSYCHOLOGICAL SCIENCES,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$9,000 ",$0 ,"$9,000 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF ARTS AND SCIENCES,11/5/24,PA-21-151
PURDUE UNIVERSITY,1481402,5R01ES010563-24,RPGs - Non SBIR/STTR,11019836,"BOWMAN, AARON B",2625423,Mechanisms of Manganese Neurotoxicity,FOOD SCIENCE,NUTRITION,EARTH SCIENCES/RESOURCES,"$566,637 ","$114,174 ","$680,811 ",4,WEST LAFAYETTE,INDIANA,47907,,,EARTH SCIENCES/RESOURCES,12/3/24,PA-20-185
PURDUE UNIVERSITY,1481402,5R01NS119917-05,RPGs - Non SBIR/STTR,10994175,"FLAHERTY, DANIEL PATRICK",10731634,Pharmacological validation of adenylyl cyclase 1 as a drug target for chronic pain,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$225,000 ","$112,908 ","$337,908 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,11/25/24,PA-19-056
PURDUE UNIVERSITY,1481402,5K01MD016167-04,Other Research-Related,11009017,"ABEBE, EPHREM",14837814,A Systems Approach to Improve Safe Medication Management for Children with Medical Complexity,SCHOOL OF NURSING,NONE,SCHOOLS OF NURSING,"$105,109 ","$8,409 ","$113,518 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF NURSING,1/18/25,PA-20-190
PURDUE UNIVERSITY,1481402,5R01ES035019-02,RPGs - Non SBIR/STTR,11005309,"CANNON, JASON R",6997573,PFAS induced alterations in reward processing,SCHOOL OF HEALTH SCIENCES,OTHER HEALTH PROFESSIONS,SCHOOLS OF PUBLIC HEALTH,"$351,153 ","$187,657 ","$538,810 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PUBLIC HEALTH,11/5/24,PA-20-185
PURDUE UNIVERSITY,1481402,5U01NS118302-04,RPGs - Non SBIR/STTR,10984465,"CUI, MENG",12504599,Optimization of Clear Optically Matched Panoramic Access Channel Technique (COMPACT) for large-scale deep-brain neurophotonic interface,SCHOOL OF ELECTRICAL AND COMPUTER ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$301,361 ","$85,091 ","$386,452 ",4,WEST LAFAYETTE,INDIANA,47907,,,BIOMED ENGR/COL ENGR/ENGR STA,12/26/24,RFA-NS-18-019
PURDUE UNIVERSITY,1481402,5R01GM097332-13,RPGs - Non SBIR/STTR,11012807,"TRAN, ELIZABETH J",8200959,The Role of DEAD-box Proteins in Gene Expression,BIOCHEMISTRY,BIOCHEMISTRY,EARTH SCIENCES/RESOURCES,"$195,166 ","$99,777 ","$294,943 ",4,WEST LAFAYETTE,INDIANA,47907,,,EARTH SCIENCES/RESOURCES,1/7/25,PA-20-185
PURDUE UNIVERSITY,1481402,5R01CA258887-04,RPGs - Non SBIR/STTR,10988319,"HUANG, RONG",11406053,Discovery of small molecule inhibitors for protein N-terminal acetyltransferase D,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$319,239 ","$151,106 ","$470,345 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,12/4/24,PAR-20-271
PURDUE UNIVERSITY,1481402,5DP2AI164293-04,RPGs - Non SBIR/STTR,11000314,"METSKAS, LAUREN ANN",10782221,"Partial maturation in mosquito-borne flaviviruses: developing new approaches to characterize the role of lattice heterogeneity in fusion, infectivity, and antibody neutralization",BIOLOGICAL SCIENCES,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$300,000 ","$152,988 ","$452,988 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF ARTS AND SCIENCES,1/17/25,PAR-20-259
PURDUE UNIVERSITY,1481402,5R01EY033734-03,RPGs - Non SBIR/STTR,11010336,"WEAKE, VIKKI MARIE",11100121,Chromatin connects metabolism to circadian gene regulation in the aging eye,BIOCHEMISTRY,BIOCHEMISTRY,EARTH SCIENCES/RESOURCES,"$250,000 ","$123,390 ","$373,390 ",4,WEST LAFAYETTE,INDIANA,47907,,,EARTH SCIENCES/RESOURCES,11/27/24,PA-20-185
PURDUE UNIVERSITY,1481402,1R21ES036308-01A1,RPGs - Non SBIR/STTR,11055675,"SHANNAHAN, JONATHAN HENRY",11301410,Synthesis of Environmentally Relevant Nanoplastics and their Toxicological Consequences Mediated by Environmental Pollutants and Biomolecule Adsorption,SCHOOL OF HEALTH SCIENCES,OTHER HEALTH PROFESSIONS,SCHOOLS OF PUBLIC HEALTH,"$349,406 ","$78,981 ","$428,387 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PUBLIC HEALTH,11/27/24,PA-20-195
PURDUE UNIVERSITY,1481402,5R35GM128894-07,RPGs - Non SBIR/STTR,11003281,"KRUSEMARK, CASEY JOHN",9297474,Harnessing the In Vitro Selection for Activity-based Proteomics and Chemical Probe Development,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$225,001 ","$122,601 ","$347,602 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,12/23/24,PAR-22-180
PURDUE UNIVERSITY,1481402,5R21DC021481-02,RPGs - Non SBIR/STTR,11006277,"LACROIX, ARIANNA",15747481,Optimizing the assessment of auditory attention in aphasia,NONE,NONE,UNIVERSITY-WIDE,"$112,500 ","$58,363 ","$170,863 ",4,WEST LAFAYETTE,INDIANA,47907,,,UNIVERSITY-WIDE,12/23/24,PAR-21-107
PURDUE UNIVERSITY,1481402,5R00CA263036-04,RPGs - Non SBIR/STTR,11032897,"O'BRIEN, VALERIE PHOEBE",15499145,Investigating gastric inflammation and preneoplastic progression driven by Helicobacter pylori infection,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$146,390 ","$77,708 ","$97,817 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,1/7/25,PA-20-188
PURDUE UNIVERSITY,1481402,1F32DC022782-01,Training - Individual,11165649,"FARHADI, AFAGH",16190707,Understanding the physiological roles of MOC efferent pathways for hearing in noise,"SPEECH, LANGUAGE, AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCHOOLS OF ARTS AND SCIENCES,"$73,828 ",,"$73,828 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF ARTS AND SCIENCES,12/3/24,PA-23-262
PURDUE UNIVERSITY,1481402,1R01CA295436-01,RPGs - Non SBIR/STTR,11014244,"ZHANG, ZHONG-YIN",1894046,Primary screening and hit follow up to identify the first selective inhibitors of PLC?1 and PLC?2,MEDICINAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$364,493 ","$207,761 ","$572,254 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PHARMACY,1/24/25,PAR-23-264
PURDUE UNIVERSITY,1481402,5F31AG084329-02,Training - Individual,10991314,"TROMBLEY, TREVOR",78917819,"Small Molecule Degraders of Tryptophan 2,3-Dioxygenase Enzyme (TDO) as Novel Treatments for Neurodegenerative Disease",NONE,NONE,UNIVERSITY-WIDE,"$47,694 ",,"$47,694 ",4,WEST LAFAYETTE,INDIANA,47907,,,UNIVERSITY-WIDE,12/27/24,PA-21-051
PURDUE UNIVERSITY,1481402,5F30DC020916-03,Training - Individual,10991353,"SIVAPRAKASAM, ANDREW",15602509,Place and Time Processing of Pitch in the Context of Cochlear Dysfunction,NONE,NONE,UNIVERSITY-WIDE,"$53,994 ",,"$53,994 ",4,WEST LAFAYETTE,INDIANA,47907,,,UNIVERSITY-WIDE,12/5/24,PA-21-049
PURDUE UNIVERSITY,1481402,5R01MH126213-04,RPGs - Non SBIR/STTR,11005775,"PASCHOU, PERISTERA",14386255,Tourette Syndrome genetics and neuroimaging international collaborative study,BIOLOGICAL SCIENCES,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$356,638 ","$60,837 ","$417,475 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF ARTS AND SCIENCES,12/20/24,PA-20-185
PURDUE UNIVERSITY,1481402,5R01ES033173-04,RPGs - Non SBIR/STTR,11017728,"SHANNAHAN, JONATHAN HENRY",11301410,Compromised Resolution of Inflammation following Nanoparticle Exposure in Metabolic Syndrome,SCHOOL OF HEALTH SCIENCES,OTHER HEALTH PROFESSIONS,SCHOOLS OF PUBLIC HEALTH,"$225,000 ","$112,723 ","$337,723 ",4,WEST LAFAYETTE,INDIANA,47907,,,SCHOOLS OF PUBLIC HEALTH,1/6/25,PA-20-185
PZA INNOVATION LLC,10062294,5R44AI181252-02,RPGs - SBIR/STTR,11005406,"SHI, WANLIANG",78161317,Development of a Rapid Phenotypic Pyrazinamide Susceptibility Testing for Mycobacterium tuberculosis Using Well-Standardized Protocol,,NONE,UNAVAILABLE,,,"$843,964 ",2,TOWSON,MARYLAND,,,,Domestic For-Profits,12/13/24,PA-22-176
"QUANTUMBIO, INC.",10001402,5R44GM148103-03,RPGs - SBIR/STTR,10994631,"WESTERHOFF, LANCE M",8500098,Research and cloud deployment of enhanced sampling methods in MovableType,,NONE,UNAVAILABLE,,,"$654,406 ",15,State College,PENNSYLVANIA,16803,,,Domestic For-Profits,11/14/24,PA-22-176
QUEEN'S MEDICAL CENTER,6813401,5R01AT011162-05,RPGs - Non SBIR/STTR,10990524,"SETO, TODD B",2660382,Modulation of pain mechanisms by cannabis-derived phytochemicals.,,NONE,UNAVAILABLE,"$383,883 ","$190,496 ","$574,379 ",1,HONOLULU,HAWAII,96813,,,Independent Hospitals,10/29/24,PA-18-917
"RADIOPHARMACEUTICAL IMAGING AND DOSIMETRY, LLC",10041619,1R44CA291419-01A1,RPGs - SBIR/STTR,11069459,"GHALY, MICHAEL",12058763,Cloud/Web-Based Platform for Quantitative SPECT Reconstruction of Therapeutic Radionuclides,,NONE,UNAVAILABLE,,,"$1,003,173 ",7,BALTIMORE,MARYLAND,,,,Domestic For-Profits,1/17/25,PA-23-230
RAFIAS LLC,10066309,1R41DA061874-01,RPGs - SBIR/STTR,11032992,"HELLER, ELIZABETH A",10862823,Advancing Nr4a1 as a novel target in cocaine use disorder.,,NONE,UNAVAILABLE,,,"$405,230 ",3,PHILADELPHIA,PENNSYLVANIA,,,,Domestic For-Profits,1/14/25,RFA-DA-24-038
"RAMONA OPTICS, INC.",10043574,5R43MH133521-02,RPGs - SBIR/STTR,11001572,"HARFOUCHE, MARK",14845079,A parallelized imaging platform for accurate and efficient long-term assessment of brain organoid development,,NONE,UNAVAILABLE,,,"$475,002 ",4,DURHAM,NORTH CAROLINA,,,,Domestic For-Profits,11/8/24,PA-22-176
RAND CORPORATION,6856101,5R01HD104555-05,RPGs - Non SBIR/STTR,11036313,"LINNEMAYR, SEBASTIAN",10299471,Goals for Adherence with Low-cost Incentives (GOALS),,NONE,UNAVAILABLE,"$468,704 ","$105,715 ","$574,419 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,1/10/25,PA-18-480
RAND CORPORATION,6856101,5R01MD017060-03,RPGs - Non SBIR/STTR,10845691,"DAMBERG, CHERYL",10886935,Physician Networks for Diabetic Lower Extremity Wounds,,NONE,UNAVAILABLE,"$411,821 ","$378,523 ","$790,344 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,12/5/24,PAR-20-310
RAND CORPORATION,6856101,1R01MH138401-01,RPGs - Non SBIR/STTR,11022038,"SMART, ROSANNA",12360683,Prescription Stimulant Supply Shocks: Assessing the Impacts on Health Outcomes and Disparities,,NONE,UNAVAILABLE,"$389,945 ","$339,422 ","$729,367 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,12/18/24,PA-20-185
RAND CORPORATION,6856101,5R01AG079230-02,RPGs - Non SBIR/STTR,10978230,"HURD, MICHAEL D",6582127,"The Effects of COVID-19 on the Well-being, Cognition and Mortality of Persons Living With Dementia",,NONE,UNAVAILABLE,"$449,503 ","$408,483 ","$857,986 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,11/8/24,PA-20-185
RAND CORPORATION,6856101,5R01MD014722-05,RPGs - Non SBIR/STTR,10745974,"BOGART, LAURA M",2690675,"Still Climbin': A Randomized Controlled Trial of an Intervention to Improve Coping with Discrimination, Address Medical Mistrust, and Reduce Health Disparities among Black Sexual Minority Men",,NONE,UNAVAILABLE,"$581,879 ","$247,957 ","$829,836 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,11/26/24,PA-19-055
RAND CORPORATION,6856101,5R01AG075508-04,RPGs - Non SBIR/STTR,10984994,"TIMBIE, JUSTIN W.",10140480,Primary Care Transformation in Puerto Rico's Physician Organizations Following Hurricane Maria,,NONE,UNAVAILABLE,"$506,346 ","$242,909 ","$749,255 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,11/8/24,PA-20-172
RAND CORPORATION,6856101,5R01MH136658-02,RPGs - Non SBIR/STTR,11063152,"HORVITZ-LENNON, MARCELA V",8734615,"Addressing Gaps in the Evidence to Improve Quality, Equity, and Value of Serious Mental Illness Care in Medicaid",,NONE,UNAVAILABLE,"$555,622 ","$117,600 ","$673,222 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,1/22/25,PAR-23-095
RAND CORPORATION,6856101,1R01MH135034-01A1,RPGs - Non SBIR/STTR,11047847,"CANTOR, JONATHAN",15316744,"Mapping Mental Health Emergency Response Systems: Assessing Capacity, Equity, and Impact Across the U.S.",,NONE,UNAVAILABLE,"$487,096 ","$390,201 ","$877,297 ",36,SANTA MONICA,CALIFORNIA,90401,,,Research Institutes,12/24/24,PAR-23-095
"RATIONAL VACCINES, INC.",10052690,4R44AI170133-02,RPGs - SBIR/STTR,11220506,"GERSHBURG, EDWARD",8533210,Preclinical Evaluation of a Novel Immunomodulatory Vaccine for Preventing and Treating HSV Infections,,NONE,UNAVAILABLE,,,"$986,717 ",5,WOBURN,MASSACHUSETTS,,,,Domestic For-Profits,1/24/25,PA-21-259
"REACX PHARMACEUTICALS, INC.",10081050,4UH3DA047707-03,RPGs - Non SBIR/STTR,11221105,"PATEL, RAJESH A",10335967,Nalmefene Implant for the Long-Term Treatment of Opioid Use Disorder,,NONE,UNAVAILABLE,"$3,000,000 ","$450,000 ","$3,450,000 ",15,SOUTH SAN FRANCISCO,CALIFORNIA,,,,Domestic For-Profits,1/23/25,RFA-DA-19-002
"REGENDODENT, INC.",10070893,1R41DE033326-01A1,RPGs - SBIR/STTR,10932485,"YELICK, PAMELA C",1877341,RegendoGEL for guided pulp and dentin regeneration,,NONE,UNAVAILABLE,,,"$398,785 ",6,ANN ARBOR,MICHIGAN,,,,Domestic For-Profits,11/27/24,PA-23-232
REGENE LLC,10072563,5R43AG085738-02,RPGs - SBIR/STTR,11014382,"SUVOROV, ALEXANDER",79112476,Targeting Type 3 Diabetes (T3D) Mechanism of Alzheimer's Disease (AD) and AD-Related Dementias,,NONE,UNAVAILABLE,,,"$249,995 ",1,Belchertown,MASSACHUSETTS,,,,Domestic For-Profits,1/24/25,PAS-22-196
REHABILITATION INSTITUTE OF CHICAGO D/B/A SHIRLEY RYAN ABILITYLAB,6898901,5K23DC020757-03,Other Research-Related,10984447,"ASHAIE, SAMEER AFZAL",15080786,Developing a daily life measure of depression for persons with aphasia and examining its relation with communicative confidence,,NONE,UNAVAILABLE,"$149,035 ","$11,803 ","$160,838 ",7,CHICAGO,ILLINOIS,60611,,,Research Institutes,11/21/24,PA-20-205
REHABILITATION INSTITUTE OF CHICAGO D/B/A SHIRLEY RYAN ABILITYLAB,6898901,1F32HD117548-01,Training - Individual,11070998,"LIM, HYOSOK",78188019,Neuromodulatory strategies targeting cortical and spinal pathways to facilitate paretic leg motor control during walking in individuals with stroke,,NONE,UNAVAILABLE,"$74,284 ",,"$74,284 ",7,CHICAGO,ILLINOIS,60611,,,Research Institutes,11/28/24,PA-23-262
REKOVAR INC.,10053259,1R44DA060640-01A1,RPGs - SBIR/STTR,11039621,"SHARAREH, SHIVA",10765118,Wireless Wearable with AI Analytics for Monitoring Neonatal Abstinence Syndrome (NAS),,NONE,UNAVAILABLE,,,"$411,800 ",40,Lake Forest,CALIFORNIA,,,,Domestic For-Profits,1/29/25,RFA-DA-23-021
RENSSELAER POLYTECHNIC INSTITUTE,6910301,1R01AR083916-01A1,RPGs - Non SBIR/STTR,11048925,"SWANK, DOUGLAS M",1872599,New mechanisms behind skeletal muscle endurance,BIOMEDICAL ENGINEERING,BIOMEDICAL ENGINEERING,BIOMED ENGR/COL ENGR/ENGR STA,"$387,328 ","$135,386 ","$522,714 ",20,TROY,NEW YORK,12180,,,BIOMED ENGR/COL ENGR/ENGR STA,12/31/24,PA-20-185
RENSSELAER POLYTECHNIC INSTITUTE,6910301,1F31EB035931-01A1,Training - Individual,11071630,"EASTMOND, CONDELL",78477045,Interpretable Real-Time Surgical Skill Assessment Via Optical Neuroimaging,BIOMEDICAL ENGINEERING,BIOMEDICAL ENGINEERING,BIOMED ENGR/COL ENGR/ENGR STA,"$48,974 ",,"$48,974 ",20,TROY,NEW YORK,12180,,,BIOMED ENGR/COL ENGR/ENGR STA,12/2/24,PA-23-271
RENSSELAER POLYTECHNIC INSTITUTE,6910301,5R01EB032716-04,RPGs - Non SBIR/STTR,11045730,"WANG, GE",1870859,Adversarially Based Virtual CT Workflow for Evaluation of AI in Medical Imaging,BIOMEDICAL ENGINEERING,BIOMEDICAL ENGINEERING,BIOMED ENGR/COL ENGR/ENGR STA,"$462,818 ","$83,511 ","$546,329 ",20,TROY,NEW YORK,12180,,,BIOMED ENGR/COL ENGR/ENGR STA,12/3/24,PA-20-185
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01NS129784-03,RPGs - Non SBIR/STTR,11004033,"BEDROSIAN, TRACY ANN",11700585,Deciphering brain mosaicism in drug-resistant epilepsy at cellular resolution,,NONE,UNAVAILABLE,"$354,196 ","$198,350 ","$552,546 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/24/25,PA-20-185
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01HL135103-07,RPGs - Non SBIR/STTR,11005031,"STACY, MITCHEL R",10934581,Radiotracer-Based Imaging for Quantitative Assessment of Skeletal Muscle Perfusion in Peripheral Artery Disease,,NONE,UNAVAILABLE,"$433,076 ","$161,991 ","$595,067 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,12/27/24,PA-20-185
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01HL155095-05,RPGs - Non SBIR/STTR,10991304,"BRITT, RODNEY",9713951,Airway Structural Cells and Corticosteroid Resistance in Asthma,,NONE,UNAVAILABLE,"$265,510 ","$143,375 ","$408,885 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,12/11/24,PA-19-056
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5F31HD113330-02,Training - Individual,11001107,"CONTRERAS, JAVIER",16163349,A HUMAN IPSC-BASED ORGANOID PLATFORM FOR STUDYING MATERNAL HYPERGLYCEMIA-INDUCED CONGENITAL HEART DEFECTS,,NONE,UNAVAILABLE,"$42,574 ",,"$42,574 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/16/25,PA-21-052
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,3R01HL155095-05S1,RPGs - Non SBIR/STTR,11226775,"BRITT, RODNEY",9713951,Airway Structural Cells and Corticosteroid Resistance in Asthma,,NONE,UNAVAILABLE,"$45,863 ","$16,723 ","$62,586 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,12/12/24,PA-19-056
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01HD107280-03,RPGs - Non SBIR/STTR,11012332,"XIANG, HENRY",7947730,Poly-Matching Causal Inference for Assessing Multiple Acute Medical Managements of Pediatric Traumatic Brain Injuries,,NONE,UNAVAILABLE,"$380,477 ","$113,188 ","$493,665 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/13/25,PA-20-185
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01HL155282-05,RPGs - Non SBIR/STTR,11013362,"ZHAO, MINGTAO",12156265,An integrated human stem cell model for elucidating myocardial-endocardial interactions in cardiac development and disease,,NONE,UNAVAILABLE,"$250,000 ","$135,000 ","$385,000 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/22/25,PA-19-056
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01CA247941-05,RPGs - Non SBIR/STTR,11017735,"WANG, RUONING",11203585,Modulation of asparagine bioavailability and stress response signaling to enhance T cell robustness and maximize immunotherapy,,NONE,UNAVAILABLE,"$312,725 ","$119,134 ","$431,859 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/20/25,PA-19-056
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R21AI183689-02,RPGs - Non SBIR/STTR,11017019,"SHIMAMURA, MASAKO",7752275,Adaptive Features of In-Utero Natural Killer Cell Responses to Congenital Cytomegalovirus Infection,,NONE,UNAVAILABLE,"$121,250 ","$67,900 ","$189,150 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/22/25,PA-20-195
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01DE031756-03,RPGs - Non SBIR/STTR,11005777,"BAGAITKAR, JUHI",11377419,Regulation and Manipulation of Oral Type III Interferon Responses by Porphyromonas gingivalis,,NONE,UNAVAILABLE,"$290,097 ","$85,356 ","$375,453 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/13/25,PA-20-185
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01MD016064-04,RPGs - Non SBIR/STTR,11008927,"CHAVEZ, LAURA",15372949,Racial/ethnic and geographic differences in pediatric tonsillectomy use: a multilevel investigation,,NONE,UNAVAILABLE,"$223,299 ","$105,642 ","$328,941 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/9/25,PAR-20-079
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1495302,5R01NS126352-03,RPGs - Non SBIR/STTR,11010866,"FLANIGAN, KEVIN M",1959651,Molecular Mechanisms of Dystrophin Expression in Ameliorated Phenotypes,,NONE,UNAVAILABLE,"$258,603 ","$142,027 ","$400,630 ",3,COLUMBUS,OHIO,43205,,,Research Institutes,1/20/25,PA-20-185
RESEARCH INST OF FOX CHASE CAN CTR,1190002,5R35GM144131-04,RPGs - Non SBIR/STTR,10977064,"WHETSTINE, JOHNATHAN R.",9410723,Deciphering Networks Controlling DNA Amplification,,NONE,UNAVAILABLE,"$225,000 ","$195,750 ","$420,750 ",2,PHILADELPHIA,PENNSYLVANIA,19111,,,Research Institutes,11/5/24,PAR-19-367
RESEARCH INST OF FOX CHASE CAN CTR,1190002,5R35GM119560-09,RPGs - Non SBIR/STTR,10990518,"WU, JINHUA",10793402,Molecular Mechanisms Underlying Adaptor-Mediated Integrin Signaling in a Species-Specific Manner,,NONE,UNAVAILABLE,"$231,750 ","$201,623 ","$433,373 ",2,PHILADELPHIA,PENNSYLVANIA,19111,,,Research Institutes,12/10/24,PAR-19-367
RESEARCH INST OF FOX CHASE CAN CTR,1190002,1R21CA296696-01,RPGs - Non SBIR/STTR,11034598,"YANG, ZENG-JIE",11184894,Assessment of Efficacy and Toxicity of T3 for Medulloblastoma Treatment,,NONE,UNAVAILABLE,"$120,615 ","$98,736 ","$219,351 ",2,PHILADELPHIA,PENNSYLVANIA,19111,,,Research Institutes,1/28/25,PAR-22-216
RESEARCH INST OF FOX CHASE CAN CTR,1190002,1R13AI188924-01,Other Research-Related,11073753,"WIEST, DAVID L.",1942493,ThymUS 2025 International Conference on Lymphopoiesis,,NONE,UNAVAILABLE,"$3,200 ",$0 ,"$3,200 ",2,PHILADELPHIA,PENNSYLVANIA,19111,,,Research Institutes,11/15/24,PA-24-141
